"songId";"trackName";"album";"trackNumber";"trackLength";"features";"albumNum"
1;"Cmon";"Up 2 Më";1;102;"None";1
2;"Morning mudd";"Up 2 Më";2;143;"None";1
3;"Got rich";"Up 2 Më";3;121;"None";1
4;"Lët ya know";"Up 2 Më";4;152;"None";1
5;"Stayëd tha same";"Up 2 Më";5;155;"None";1
6;"Gët Busy";"Up 2 Më";6;157;"None";1
7;"Rokstar";"Up 2 Më";7;134;"None";1
8;"Trëndy way";"Up 2 Më";8;200;"SeptembersRich";1
9;"Swërved It";"Up 2 Më";9;137;"None";1
10;"Ya Ya";"Up 2 Më";10;138;"None";1
11;"U could tëll";"Up 2 Më";11;149;"None";1
12;"Factz";"Up 2 Më";12;161;"None";1
13;"Bak on ëm";"Up 2 Më";13;120;"None";1
14;"Hëy";"Up 2 Më";14;158;"None";1
15;"Turban";"Up 2 Më";15;156;"None";1
16;"Twizzy Rich";"Up 2 Më";16;161;"None";1
17;"Told ya";"Up 2 Më";17;189;"None";1
18;"Monëy so big";"Up 2 Më";18;160;"None";1
19;"Dëserve it";"Up 2 Më";19;111;"None";1
20;"Kant changë";"Up 2 Më";20;130;"None";1
21;"Callin më";"Up 2 Më";21;155;"None";1
22;"Lying 4 fun";"Up 2 Më";22;304;"None";1
23;"Poppin";"2 Alivë (Gëek Pack)";1;166;"None";2
24;"Outsidë";"2 Alivë (Gëek Pack)";2;230;"Young Thug";2
25;"Rëal six";"2 Alivë (Gëek Pack)";3;208;"None";2
26;"Nvr again";"2 Alivë (Gëek Pack)";4;168;"None";2
27;"Luh gëek";"2 Alivë (Gëek Pack)";5;175;"None";2
28;"Rackz got më";"2 Alivë (Gëek Pack)";6;181;"Gunna";2
29;"Doublë";"2 Alivë (Gëek Pack)";7;170;"None";2
30;"On tha linë";"2 Alivë (Gëek Pack)";8;154;"None";2
31;"Jus bëtter";"2 Alivë (Gëek Pack)";9;188;"None";2
32;"Jump";"2 Alivë (Gëek Pack)";10;192;"None";2
33;"Dnt lië";"2 Alivë (Gëek Pack)";11;212;"None";2
34;"Rollin";"2 Alivë (Gëek Pack)";12;216;"None";2
35;"Taliban";"2 Alivë (Gëek Pack)";13;178;"None";2
36;"Narcoticz";"2 Alivë (Gëek Pack)";14;230;"Yung Kayo";2
37;"Call më";"2 Alivë (Gëek Pack)";15;220;"None";2
38;"Kant dië";"2 Alivë (Gëek Pack)";16;161;"None";2
39;"Gëek high";"2 Alivë (Gëek Pack)";17;152;"Ken Carson";2
40;"Luh m";"2 Alivë (Gëek Pack)";18;209;"SeptembersRich";2
41;"Smooktobër";"2 Alivë (Gëek Pack)";19;175;"None";2
52;"Flawlëss";"Lyfe";1;175;"Lil Uzi Vert";3
53;"Up off X";"Lyfe";2;198;"None";3
54;"Out thë way";"Lyfe";3;150;"None";3
55;"Wat it feel lykë";"Lyfe";4;130;"None";3
56;"Got it all";"Lyfe";5;171;"None";3
57;"Can’t stop it";"Lyfe";6;133;"None";3
58;"Krank";"Lyfe";7;176;"None";3
59;"Talk";"Lyfe";8;175;"None";3
60;"Comë on";"Lyfe";9;205;"None";3
61;"Systëm";"Lyfe";10;167;"None";3
62;"Holy 1";"Lyfe";11;201;"None";3
63;"Killin ëm";"Lyfe";12;172;"None";3
64;"No morë talk";"AftërLyfe";1;238;"None";4
65;"Shmunk";"AftërLyfe";2;229;"YoungBoy Never Broke Again";4
66;"Bëttr 0ff";"AftërLyfe";3;230;"None";4
67;"Rav3 p4rty";"AftërLyfe";4;199;"Kranky Kranky";4
68;"Nun id change";"AftërLyfe";5;211;"None";4
69;"Woa…!";"AftërLyfe";6;170;"None";4
70;"Now";"AftërLyfe";7;272;"Luh geeky";4
71;"Slamm";"AftërLyfe";8;145;"None";4
72;"7 nightz";"AftërLyfe";9;185;"None";4
73;"Mëan feen";"AftërLyfe";10;192;"Kranky Kranky";4
74;"How it go";"AftërLyfe";11;185;"None";4
75;"Sum 2 do";"AftërLyfe";12;152;"None";4
76;"Back up";"AftërLyfe";13;133;"None";4
77;"Split";"AftërLyfe";14;143;"None";4
78;"Bad / DëMON";"AftërLyfe";15;182;"None";4
79;"Hëavyweight";"AftërLyfe";16;149;"None";4
80;"Watch";"AftërLyfe";17;137;"None";4
81;"Shhhh";"AftërLyfe";18;194;"None";4
82;"Back homë";"AftërLyfe";19;210;"None";4
83;"Type monëy";"AftërLyfe";20;191;"None";4
84;"Dëmon tied";"AftërLyfe";21;163;"None";4
85;"Mysëlf";"AftërLyfe";22;150;"None";4
42;"Still countin";"2 Alivë (Gëek Pack)";20;170;"None";2
43;"Big tonka";"2 Alivë (Gëek Pack)";21;208;"Lil Uzi Vert";2
44;"Kant rëlax";"2 Alivë (Gëek Pack)";22;220;"None";2
45;"No commënt";"2 Alivë (Gëek Pack)";23;151;"None";2
46;"3G";"2 Alivë (Gëek Pack)";24;171;"Lil Uzi Vert";2
47;"Nëw turban";"2 Alivë (Gëek Pack)";25;168;"None";2
48;"Hatër";"2 Alivë (Gëek Pack)";26;153;"None";2
49;"Way back";"2 Alivë (Gëek Pack)";27;194;"None";2
50;"Luv monëy";"2 Alivë (Gëek Pack)";28;214;"Lancey Foux";2
51;"Dub";"2 Alivë (Gëek Pack)";29;154;"None";2
